[21 авг 19:10:07] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: null]
[22 авг 19:10:54] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_add_exp_sp_to_character [target: player 'NekroModeOn']
[22 авг 19:10:58] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_setlevel 83 [target: player 'NekroModeOn']
[22 авг 19:11:01] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass [target: player 'NekroModeOn']
[22 авг 19:11:04] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_setclass 95 [target: player 'NekroModeOn']
[22 авг 19:11:17] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:11:19] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_char_manage [target: player 'fakeSB']
[22 авг 19:11:20] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_characters 0 [target: player 'fakeSB']
[22 авг 19:11:21] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_character_list NekroModeOn [target: player 'NekroModeOn']
[22 авг 19:11:22] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_recall_char_menu NekroModeOn [target: player 'NekroModeOn']
[22 авг 19:13:13] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'NekroModeOn']
[22 авг 19:13:14] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmshop [target: player 'NekroModeOn']
[22 авг 19:13:17] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html gmshop/armors.htm [target: player 'NekroModeOn']
[22 авг 19:13:25] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_buy 9956 [target: player 'NekroModeOn']
[22 авг 19:13:35] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'NekroModeOn']
[22 авг 19:13:37] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmshop [target: player 'NekroModeOn']
[22 авг 19:13:38] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html gmshop/weapons.htm [target: player 'NekroModeOn']
[22 авг 19:13:40] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_buy 9923 [target: player 'NekroModeOn']
[22 авг 19:13:54] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'NekroModeOn']
[22 авг 19:13:59] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html attribute.htm [target: player 'NekroModeOn']
[22 авг 19:14:30] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_setatrew 215 Dark [target: player 'NekroModeOn']
[22 авг 19:19:53] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_add_exp_sp_to_character [target: player 'fakeSB']
[22 авг 19:19:58] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setlevel 84 [target: player 'fakeSB']
[22 авг 19:20:10] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:20:17] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_invul [target: player 'fakeSB']
[22 авг 19:20:21] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:20:24] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmshop [target: player 'fakeSB']
[22 авг 19:20:25] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html gmshop/weapons.htm [target: player 'fakeSB']
[22 авг 19:20:27] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_buy 9998 [target: player 'fakeSB']
[22 авг 19:20:40] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:20:45] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html attribute.htm [target: player 'fakeSB']
[22 авг 19:20:47] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:20:49] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_enchant [target: player 'fakeSB']
[22 авг 19:20:57] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setew 5000 [target: player 'fakeSB']
[22 авг 19:21:12] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:21:17] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmshop [target: player 'fakeSB']
[22 авг 19:21:23] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_create_item 57 100000000 [target: player 'fakeSB']
[22 авг 19:21:53] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:21:55] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmspeed 3 [target: player 'fakeSB']
[22 авг 19:22:00] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_recall_char_menu NekroModeOn [target: player 'NekroModeOn']
[22 авг 19:22:36] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: NPC Pathfinder Worker [32484]]
[22 авг 19:23:48] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:23:48] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_moves [target: player 'fakeSB']
[22 авг 19:23:53] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/instances.htm [target: player 'fakeSB']
[22 авг 19:24:01] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/instances/kamaloka.htm [target: player 'fakeSB']
[22 авг 19:24:04] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_move_to 42660 -47996 -727 [target: null]
[22 авг 19:24:12] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:24:14] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_moves [target: player 'fakeSB']
[22 авг 19:24:16] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid.htm [target: player 'fakeSB']
[22 авг 19:24:20] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid/raid80.htm [target: player 'fakeSB']
[22 авг 19:24:24] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid.htm [target: player 'fakeSB']
[22 авг 19:24:25] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid/raid80.htm [target: player 'fakeSB']
[22 авг 19:24:27] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid.htm [target: player 'fakeSB']
[22 авг 19:24:30] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid/all.htm [target: player 'fakeSB']
[22 авг 19:24:31] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid.htm [target: player 'fakeSB']
[22 авг 19:24:32] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid/grand.htm [target: player 'fakeSB']
[22 авг 19:24:36] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/raid.htm [target: player 'fakeSB']
[22 авг 19:24:37] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html teleports.htm [target: player 'fakeSB']
[22 авг 19:24:41] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/other.htm [target: player 'fakeSB']
[22 авг 19:29:44] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 19:29:45] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_moves [target: player 'fakeSB']
[22 авг 19:29:53] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/other.htm [target: player 'fakeSB']
[22 авг 19:30:18] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/other/gracia.htm [target: player 'fakeSB']
[22 авг 19:30:32] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/other.htm [target: player 'fakeSB']
[22 авг 19:30:34] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/other/epilogue.htm [target: player 'fakeSB']
[22 авг 19:30:36] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_move_to -114592 -152509 -6723 [target: null]
[22 авг 19:30:49] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_recall_char_menu NekroModeOn [target: player 'NekroModeOn']
[22 авг 20:02:18] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 20:02:20] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_enchant [target: player 'fakeSB']
[22 авг 20:02:23] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setec 10000 [target: player 'fakeSB']
[22 авг 20:03:39] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 20:03:40] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmshop [target: player 'fakeSB']
[22 авг 20:03:41] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html gmshop/armors.htm [target: player 'fakeSB']
[22 авг 20:03:43] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_buy 9954 [target: player 'fakeSB']
[22 авг 20:04:06] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 20:04:07] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_enchant [target: player 'fakeSB']
[22 авг 20:04:12] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_setec 1000 [target: player 'fakeSB']
[22 авг 20:04:20] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 20:04:21] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_gmspeed 3 [target: player 'fakeSB']
[22 авг 20:33:56] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_skills [target: player 'NekroModeOn']
[22 авг 20:33:57] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_give_all_skills [target: player 'NekroModeOn']
[22 авг 20:34:26] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_skills [target: player 'fakeSB']
[22 авг 20:34:28] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_give_all_skills [target: player 'fakeSB']
[22 авг 20:53:11] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_reload_htm [target: player 'fakeSB']
[22 авг 21:33:33] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: player 'fakeSB']
[22 авг 21:33:35] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_char_manage [target: player 'fakeSB']
[22 авг 21:33:36] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_characters 0 [target: player 'fakeSB']
[22 авг 21:33:37] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_character_list йцукейцуе [target: player 'йцукейцуе']
[22 авг 21:33:38] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_recall_char_menu йцукейцуе [target: player 'йцукейцуе']
[26 авг 16:34:35] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[26 авг 16:34:39] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_vis [target: null]
[26 авг 16:35:04] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[26 авг 16:35:23] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_vis [target: null]
[26 авг 16:35:33] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[26 авг 16:35:43] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_moves [target: null]
[26 авг 16:35:51] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/towns.htm [target: null]
[26 авг 16:35:52] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/towns/giran.htm [target: null]
[26 авг 16:35:53] GM Player 'NekroModeOn' [oid=268486138, account='chipercu1, ip=127.0.0.1'] command_type:2 success:1 command:admin_move_to 83400 148040 -3431 [target: null]
[26 авг 19:09:07] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_admin [target: null]
[26 авг 19:09:10] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_moves [target: null]
[26 авг 19:09:14] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_show_html tele/arenas.htm [target: null]
[26 авг 19:09:16] GM Player 'fakeSB' [oid=268438970, account='chipercu, ip=127.0.0.1'] command_type:2 success:1 command:admin_move_to -88136 -253224 -3340 [target: null]
